Alpha (in Grad),Spannung (in Volt),Sigma (in Prozent),Mesure angle
0,44,0.01,90
7,43,0.02,97
16,40,0.01,106
23,32,0.01,113
33,4,0.01,123
36,20,0.01,126
45,20,0.01,135
50,1.6,0.01,140
57,10,0.01,147
66,11,0.01,156
69,26,0.01,159
75,20,0.01,165
27,12,0.01,117
30,8,0.01,120
40,14,0.01,130
45,19,0.01,135
